,party,year,matched_keywords_all,n_hits_body_total,body,relevant_len_words,total_len_words
44,CDA,2025,"['ai', 'gpt', 'kunstmatige intelligentie']",15,...te stappen naar ander werk. Medische opleidingen hebben aandacht voor de werking kansen en risico’s van technologie en met name AI. •• Het moet makkelijker zijn voor verpleegkundigen om na pensionering hun werk te kunnen blijven doen. Bij pensionering moet de op vertrouwen. Onze keuzes voor een fatsoenlijk land. en valorisatie dat zich richt op de sleuteltechnologieën van de toekomst zoals AI quantum-computing groene chemie batterijtechnologie en biotechnologie. 5.4 Een leven lang ontwikkelen van werk naar werk We richten samen met werkgevers deels afhankelijk van mensen van buiten de EU. We pakken misbruik van de kenniswerkersregeling streng aan. 6.6 Nieuwe technologieën en kunstmatige intelligentie Kunstmatige intelligentie (AI) ontwikkelt zich snel tot een drijvende kracht achter economische macht wetenschappelijke vooruitgang en geopolitieke invloed. Europa bevindt zich op een knooppunt in de wereldwijde AI-race maar loopt achter op de VS en China. We blijven aandacht hebben voor digitale ethiek want digitale technologie is niet deze transitie door te voeren. •• Binnen het groeifonds komt ruimte voor investeringen in sleuteltechnologieën met een sterke focus op AI. Er komt daarnaast een commissaris AI voor centrale regie. Zo stimuleren we steviger samenwerking en data-uitwisseling tussen bedrijven onderwijsinstellingen en overheden. Toezichthouders behouden hun onafhankelijke rol en zien toe op naleving van de geldende wetgeving op het gebied van AI. •• Wij willen een betere verankering van digitale ethiek: AI-ethiek het begrijpen van algoritmes mediawijsheid en cyberveiligheid in funderend en vervolgonderwijs en bibliotheken. Ook bedrijven vooral het mkb dragen bij aan de daadwerkelijke productie van geavanceerde chips in Nederland of Europa. •• We stimuleren doorontwikkeling van het Nederlands ‘large language-model’ GPT-NL als basis voor AI. Ook stimuleren we de bouw van Europees-autonome datacentra. En we steunen de komst van een AI-fabriek in Noord-Nederland en essentiële softwaretoepassingen. •• We beschermen essentiële bedrijven tegen beperkingen die deze krijgen opgelegd door landen buiten Europa...,311,30904
66,CDA,2025,"['ai', 'gpt', 'kunstmatige intelligentie']",15,...te stappen naar ander werk. Medische opleidingen hebben aandacht voor de werking kansen en risico’s van technologie en met name AI. •• Het moet makkelijker zijn voor verpleegkundigen om na pensionering hun werk te kunnen blijven doen. Bij pensionering moet de op vertrouwen. Onze keuzes voor een fatsoenlijk land. en valorisatie dat zich richt op de sleuteltechnologieën van de toekomst zoals AI quantum-computing groene chemie batterijtechnologie en biotechnologie. 5.4 Een leven lang ontwikkelen van werk naar werk We richten samen met werkgevers deels afhankelijk van mensen van buiten de EU. We pakken misbruik van de kenniswerkersregeling streng aan. 6.6 Nieuwe technologieën en kunstmatige intelligentie Kunstmatige intelligentie (AI) ontwikkelt zich snel tot een drijvende kracht achter economische macht wetenschappelijke vooruitgang en geopolitieke invloed. Europa bevindt zich op een knooppunt in de wereldwijde AI-race maar loopt achter op de VS en China. We blijven aandacht hebben voor digitale ethiek want digitale technologie is niet deze transitie door te voeren. •• Binnen het groeifonds komt ruimte voor investeringen in sleuteltechnologieën met een sterke focus op AI. Er komt daarnaast een commissaris AI voor centrale regie. Zo stimuleren we steviger samenwerking en data-uitwisseling tussen bedrijven onderwijsinstellingen en overheden. Toezichthouders behouden hun onafhankelijke rol en zien toe op naleving van de geldende wetgeving op het gebied van AI. •• Wij willen een betere verankering van digitale ethiek: AI-ethiek het begrijpen van algoritmes mediawijsheid en cyberveiligheid in funderend en vervolgonderwijs en bibliotheken. Ook bedrijven vooral het mkb dragen bij aan de daadwerkelijke productie van geavanceerde chips in Nederland of Europa. •• We stimuleren doorontwikkeling van het Nederlands ‘large language-model’ GPT-NL als basis voor AI. Ook stimuleren we de bouw van Europees-autonome datacentra. En we steunen de komst van een AI-fabriek in Noord-Nederland en essentiële softwaretoepassingen. •• We beschermen essentiële bedrijven tegen beperkingen die deze krijgen opgelegd door landen buiten Europa...,311,31165
67,ChristenUnie,2021,"['ai', 'artificial intelligence']",3,...Informeren en stimuleren zijn de kernwoorden bij vaccinatiebeleid de ChristenUnie is tegen elke vorm van vaccinatiedwang. • Big data en Artificial Intelligence (AI). Er zijn al algoritmen die beter dan mensen in staat zijn afwijkingen (nieuwvormingen) te detecteren in beelden van menselijk celmateriaal. Zo lang AI bijdraagt aan gepaste zorg en niet interfereert met de goede relatie tussen arts en patiënt is de ChristenUnie voor de...,65,62707
69,ChristenUnie,2021,"['ai', 'artificial intelligence']",3,...recht op toegang tot sociale en economische activiteiten en tot het verkeer is voor iedereen gelijk. • Big data en Artificial Intelligence (AI). Er zijn al algoritmen die beter dan mensen in staat zijn afwijkingen (nieuwvormingen) te detecteren in beelden van menselijk celmateriaal. Zo lang AI bijdraagt aan gepaste zorg en niet interfereert met de goede relatie tussen arts en patiënt is de ChristenUnie voor de...,65,67748
70,ChristenUnie,2025,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie', 'machine learning']",7,...het gaat om de inzet van technieken en de regulering van ons digitale maatschappelijke verkeer bijvoorbeeld bij het gebruik van kunstmatige intelligentie en algoritmes. De overheid zelf maakt een gedegen afweging of voor machine learning algoritmes of alternatieven gekozen wordt. Het algoritmeregister wordt uitgebreid en verplicht gesteld zodat transparant is hoe algoritmes worden ingezet. een schone lei zodat consumenten op een duidelijke plek een verzoek kunnen indienen om al hun data te laten vernietigen. AI in de rechtsstaat De opkomst van kunstmatige intelligentie (AI) is een van de grootste maatschappelijke uitdagingen van onze tijd met potentieel ontwrichtende gevolgen voor onder andere de rechtsstaat. Daarom infectiesyndromen). De opgerichte expertisecentra blijven behouden. Professionals in poortwachtersfuncties (zoals huisartsen bedrijfs- en verzekeringsartsen) worden beter geschoold. Big data en artificiële intelligentie (AI) in de zorg Kunstmatige intelligentie kan een middel tot mogelijke detectie zijn voor een arts zolang de arts eindverantwoordelijk blijft en het middel niet...,151,34883
75,ChristenUnie,2025,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie']",4,...gaat om de inzet van technieken en de regulering van ons digitale 1399 maatschappelijke verkeer bijvoorbeeld bij het gebruik van kunstmatige intelligentie en 1400 algoritmes. Ons recht op privacy en onze vrije en ongefilterde toegang tot gegevens kunnen 1401 in het expertisecentra blijven behouden. Professionals in poortwachtersfuncties (zoals huisartsen 1775 bedrijfs- en verzekeringsartsen) worden beter geschoold. 1776 1777 Big data en artificiële intelligentie (AI) in de zorg. Kunstmatige intelligentie kan een 1778 middel tot mogelijke detectie zijn voor een arts zolang de arts eindverantwoordelijk blijft en 1779 het...,88,36751
76,ChristenUnie,2023,"['ai', 'artificiële intelligentie', 'chatgpt', 'kunstmatige intelligentie']",9,...maar ook een goede organisatie. Het advies om vaccinatieprogramma’s voor volwassenen publiek te organiseren wordt uitgevoerd. • Big data en artificiële intelligentie (AI) in de zorg. Er zijn algoritmen die beter dan mensen in staat zijn afwijkingen (nieuwvormingen) te detecteren in beelden van menselijk celmateriaal. Kunstmatige intelligentie kan een middel tot mogelijke detectie zijn voor een arts zolang de arts eindverantwoordelijk blijft en het middel niet te verlagen. Scholen zouden binnen een bepaalde bandbreedte zelf keuzes moeten kunnen maken. • Bezin je op de rol van AI. De Rijksoverheid organiseert een brede bezinning op de toepassing van Artificiële Intelligentie (AI). In hoeverre is AI een bijdrage aan of een belemmering voor de kwaliteit van het onderwijs en de ontwikkeling van jongeren? • Versterk de van kinderen te verhandelen. Bedrijven en sociale media die dat wel doen worden uit Europa geweerd. • Regulering algoritmes en Artificiële Intelligentie. Er komen strenge regels over de kwaliteit en het type data dat gebruikt mag worden voor de training van een technologische innovatie geïntroduceerd wordt die in potentie een groot effect heeft op de samenleving (denk aan de invloed van ChatGPT). De Waakhond Digitale Veiligheid krijgt een signaleringsfunctie. 100 CHRISTENUNIE VERKIEZINGSPROGRAMMA 2023-2027 4.3 • Rechtvaardige gastvrijheid Het is onverteerbaar dat er...,204,65905
79,ChristenUnie,2023,"['ai', 'artificiële intelligentie', 'chatgpt', 'kunstmatige intelligentie']",9,...maar ook een goede organisatie. Het advies om vaccinatieprogramma’s voor volwassenen publiek te organiseren wordt uitgevoerd. • Big data en artificiële intelligentie (AI) in de zorg. Er zijn algoritmen die beter dan mensen in staat zijn afwijkingen (nieuwvormingen) te detecteren in beelden van menselijk celmateriaal. Kunstmatige intelligentie kan een middel tot mogelijke detectie zijn voor een arts zolang de 28 CHRISTENUNIE VERKIEZINGSPROGRAMMA 2023-2028 arts eindverantwoordelijk blijft te verlagen. Scholen zouden binnen een bepaalde bandbreedte zelf keuzes moeten kunnen maken. • Bezin je op de rol van AI. De Rijksoverheid organiseert een brede bezinning op de toepassing van Artificiële Intelligentie (AI). In hoeverre is AI een bijdrage aan of een belemmering voor de kwaliteit van het onderwijs en de ontwikkeling van jongeren? • Versterk de van kinderen te verhandelen. Bedrijven en sociale media die dat wel doen worden uit Europa geweerd. • Regulering algoritmes en Artificiële Intelligentie. Er komen strenge regels over de kwaliteit en het type data dat gebruikt mag worden voor de training van een technologische innovatie geïntroduceerd wordt die in potentie een groot effect heeft op de samenleving (denk aan de invloed van ChatGPT). De Waakhond Digitale Veiligheid krijgt een signaleringsfunctie. 4.3 • Rechtvaardige gastvrijheid Het is onverteerbaar dat er nog steeds mensen sterven...,204,68780
80,ChristenUnie,2024,"['ai', 'artificial intelligence', 'chatgpt', 'kunstmatige intelligentie']",12,...ontwikkeld zoals de wet inzake digitale diensten (Digital Services Act) de wet inzake digitale markten (Digital Markets Act) en de kunstmatige intelligentie verordening (Artificial Intelligence Act). De ChristenUnie pleit voor goede implementatie van deze wetten en voor controle op de eﬀecten daarvan. • Beteugelen gebruik van de apps. Dit vergt verdere Europese regelgeving en afspraken en betere handhaving van bestaande regels (VPTK). • Europese AI-wet. Ontwikkelingen op het gebied van AI gaan ontzettend snel en zijn moeilijk te reguleren. In EU-verband kan de impact ervan wel beheerst worden; met name als het gaat om het publieke domein is de ChristenUnie voor een strakke begrenzing op risicovolle AI -toepassingen waar AI keuzes maakt die invloed hebben op mensen of waar AI het menselijke keuzeproces beïnvloedt. Je kunt hierbij denken aan adviezen van AI aan artsen het gebruik van AI voor defensie of inzet van AI om advertenties succesvoller te maken door personalisatie. • Een APK voor digitale veiligheid. Er is al EU-wetgeving die een zorgplicht en projecten (milieueﬀectrapportages) zo moet er ook een EU-richtlijn komen voor het beoordelen van de eﬀecten van digitale producten (bijvoorbeeld ChatGPT) in het bijzonder op kinderen vóórdat deze op de markt of in het digitale domein verschijnen. 13 Veilig Europa Leven - EHDS). Hierbij komen gegevens zowel beschikbaar voor medewerkers in de gezondheidszorg als voor bedrijven zoals de farmaceutische industrie en AI-ontwikkelaars. Elke patiënt komt in dit systeem tenzij hij of zij bezwaar maakt. De ChristenUnie is hier zeer kritisch op gezien...,247,23025
86,ChristenUnie,2025,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie']",4,...het gaat om de inzet van technieken en de regulering van ons digitale maatschappelijke verkeer bijvoorbeeld bij het gebruik van kunstmatige intelligentie en algoritmes. Ons recht op privacy en onze vrije en ongefilterde toegang tot gegevens kunnen in het gedrang komen ME/CVS. De opgerichte expertisecentra blijven behouden. Professionals in poortwachtersfuncties (zoals huisartsen bedrijfs- en verzekeringsartsen) worden beter geschoold. Big data en artificiële intelligentie (AI) in de zorg Kunstmatige intelligentie kan een middel tot mogelijke detectie zijn voor een arts zolang de arts eindverantwoordelijk blijft en het middel niet...,89,33470
103,D66,2019,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie']",5,...budget moet gaan naar onderzoek en ontwikkeling. Dit kan via versterking van het kaderprogramma en het EU-investeringsbeleid. Vooral thema’s als kunstmatige intelligentie kwantumcomputing medisch onderzoek en schone energie hebben prioriteit. Ook experimenten met slimmer transport en smart cities kunnen ondersteuning krijgen digitale wereld maar zijn hier nog onvoldoende op ingericht. Europese en nationale mededingingsautoriteiten zouden moeten controleren of big data en kunstmatige intelligentie niet ingezet worden voor kartelvorming prijsafspraken of andersoortig machtsmisbruik. 29 We hebben een vitale infrastructuur en eerlijke concurrentie nodig controles op de betrouwbaarheid van de technologie. OPEN DISCUSSIE OVER ETHISCHE DILEMMA’S De digitale wereld en vooral het inzetten van artificiële intelligentie en zelflerende systemen brengen vele nieuwe ethische dilemma’s met zich mee. D66 vindt dat er Europese normen moeten komen systemen. Deze normen moeten gebaseerd worden op een brede maatschappelijke discussie. Bij het toekennen van subsidies voor het ontwikkelen van AI en zelflerende systemen stelt de Europese Commissie al ethische commissies in. De volgende stap is dat bedrijven worden aangemoedigd zelf moet veel aandacht uitgaan naar het bouwen van een sterke positie in belangrijke nieuwe technologieën met een brede toepassing zoals artificiële intelligentie kwantumcomputing cybersecurity en blockchaintoepassingen voor bijvoorbeeld logistieke ketens of contractbeheersing. Multidisciplinair onderzoek en samenwerking tussen landen bijvoorbeeld op het...,209,17992
104,D66,2025,['kunstmatige intelligentie'],9,...plichten kunnen deelnemen aan de samenleving. • Digitale vaardigheden krijgen een betere invulling in het nieuwe curriculum. Met aandacht voor kunstmatige intelligentie en kritisch denken over privacy en ethiek. We ondersteunen het effectiever gebruiken van digitale leermiddelen en –methoden met extra digitale leermiddelen krijgt een plek in de lerarenopleidingen. • We vergroten de opleidingscapaciteit voor studenten in de techniek ict en kunstmatige intelligentie in het hele vervolgonderwijs. We streven naar 1000 afgestudeerden in kunstmatige intelligentie en informatica per jaar vanaf 2022. Er komen fors meer investeringen in onderzoek op het gebied van digitale techniek zoals kunstmatige intelligentie cyber security quantum computing en fotonica. • Elke burger heeft toegang tot ‘digitale inburgering’; bijscholing die alle burgers helpt diversiteit dragen in onze ogen bij aan een modernisering van de rechtspraak. • De internationale trend om te experimenteren met kunstmatige intelligentie (KI) in de rechtspraak moet worden gereguleerd. De inzet van KI bij het snel doorzoeken van jurisprudentie kan de die macht achterblijft. Het is essentieel dat Nederland ambitieus vorm geeft aan de Europese strategieën op het gebied van data kunstmatige intelligentie en gegevensbescherming. Een digitale data-strategie Een data-strategie moet onze individuele grondrechten beschermen. In de kern betekent dit dat mensen gebruiker legt. Toegankelijkheid is belangrijk zodat ook laaggeletterden of mensen met beperkte digitale vaardigheden hiermee kunnen omgaan. Veilig gebruik van kunstmatige intelligentie Ook binnen de gezondheidszorg is kunstmatige intelligentie in opkomst. Dit kan de werklast van professionals verminderen en de patiënt een betere behandeling opleveren. Maar op dit...,244,61803
105,D66,2024,"['ai', 'artificiële intelligentie', 'chatgpt', 'generatieve ai', 'kunstmatige intelligentie', 'machine learning']",32,...consument daarnaast actief en op een begrijpelijke inzichtelijke manier welke gegevens zij verzamelen opslaan en gebruiken. • Het gebruik van kunstmatige intelligentie in hoogrisicotoepassingen zoals het onderwijs handhaving en bestuur kan veel nieuwe mogelijkheden en vooruitgang brengen maar ook grote gevolgen publiekelijk inzichtelijk. Hierdoor worden belangrijke besluiten over technologie transparanter en beter democratisch geborgd. • Voor democratische controle en toezicht op AI is transparantie essentieel. Daarom komen er AI-labels voor alle content die met behulp van AI gegenereerd is. Bij foundation models zoals ChatGPT die voor veel doeleinden kunnen worden gebruikt is altijd inzichtelijk wie de maker van het model is. Ook worden de broncodes van AI beschikbaar voor onderzoek door Europese toezichthouders ook vóórdat producten op de markt komen. Dit leggen we Europees vast. Nieuwe energie groene innovatieve Europese toekomst gaat hand in hand met de digitale transitie. Zowel de ontwikkeling van nieuwe digitale technologie als kunstmatige intelligentie gaat razendsnel. D66 wil de kansen van nieuwe technologie grijpen. Kunstmatige intelligentie kan bijdragen aan een duurzame landbouw meer biodiversiteit en snelle opwekking van groene energie. Tegelijkertijd kan de digitale transitie D66 is de ambitie dat de Europese Unie in 2035 koploper is in de ontwikkeling van eerlijke rechtvaardige en duurzame kunstmatige intelligentie. Onze inzet: • In 2040 is Europa klimaatneutraal en in 2050 klimaatpositief. Vanaf 2045 is het gebruik van fossiele technologie kan een belangrijke bijdrage leveren aan de bestrijding van de klimaatcrisis. Tegelijkertijd kost de ontwikkeling van digitale technologie zoals kunstmatige intelligentie veel water en energie. D66 wil gebruik maken van de mogelijkheden van nieuwe technologie door deze op een duurzame...,260,31104
106,D66,2025,"['ai', 'artificial intelligence']",33,...handhaven. • We zorgen voor de nodige capaciteit om de Europese Digitale Dienstenverordening de Europese Digitale Marktenwet en de Europese Artificial Intelligence Wet te handhaven maar monitoren ook of deze wetten doen wat ze beloven: sancties voor bedrijven die te weinig • Daarbij zet D66 in op een sterke Digital Fairness Act in Europa om standaarden voor sociale media algoritmes en AI te ontwikkelen om de negatieve impact op mentale gezondheid maar ook onethische verkooppraktijken te beperken. • Democratische controle op technologische van de Mens om hen toe te rusten om Europese wetgeving zoals de Digitale Dienstenverordening de Digitale Marktenwet en de Artificial Intelligence Wet met kracht te handhaven. Ook investeren we extra in onafhankelijke parlementaire ondersteuning en kennis op het vlak van het gaat om veiligheid of het schenden van burgerrechten. Daarna komt een bedrijf niet meer in aanmerking voor aanbestedingen. • AI zorgt voor nieuwe kwetsbaarheid voor cyberaanvallen. We investeren extra in cybersecurity voor een weerbare samenleving. • Het toezicht op algoritmes en AI wordt steviger. We verhogen het budget van de algoritmewaakhond. Toezichthouders zoals de Autoriteit Financiële Markten de Autoriteit Consument & Markt 15 een open-source licentie. Dit draagt bij aan digitale inclusie transparantie controle en de bescherming van privacy. • Technologie als AI is afhankelijk van grote hoeveelheden elektriciteit stroom en eindige grondstoffen. D66 wil dat technologie zoals datacenters klimaatneutraal en met respect...,221,38615
107,D66,2023,"['ai', 'artificiële intelligentie', 'chatgpt', 'generatieve ai', 'kunstmatige intelligentie']",23,...kennismigratie. Ook geven we ruimte aan de ontwikkeling van andere toekomstgerichte sectoren zoals batterijproductie technologie rond klimaat- en natuurherstel en kunstmatige intelligentie. Nederland kan hierin een belangrijke rol spelen in de wereld maar ook in Nederland biedt dit veel kansen aan actieve rol in de ontwikkeling van de infrastructuur van de overheid moet dit marktfalen worden aangepakt. • Het gebruik van kunstmatige intelligentie in de zorg wordt ingekaderd met wet- en regelgeving. De beste zorg in het hele land Het zorgaanbod in de middelbare school en het mbo. • We verbeteren de invulling van onderwijs in digitale vaardigheden – met aandacht voor kunstmatige intelligentie programmeren en kritisch denken over privacy en ethiek. • Mobiele telefoons zijn deel van ons dagelijks leven maar brengen dringen het aantal lege vrachtwagens op de weg terug door slimmere samenwerking tussen vervoerders en verladers te stimuleren. Technologie als kunstmatige intelligentie en duidelijke afspraken door middel van convenanten helpen daarbij. • We stimuleren experimenten met zelfrijdende en met elkaar communicerende willen we meer openheid over rechterlijke adviezen bij gratieverzoeken en de uitspraken van (semi)private geschil-beslechtende instellingen. • De inzet van kunstmatige intelligentie bij het snel doorzoeken van jurisprudentie kan de rechtspraak helpen om efficiënter te werken maar het zijn uiteindelijk mensen die rechterlijke uitspraken moeten doen. Om die reden moet de internationale trend om te experimenteren met kunstmatige intelligentie in de rechtspraak worden gereguleerd. • We willen een betere begrotingssystematiek in de hele keten van rechtspraak die recht...,237,80847
108,D66,2025,['ai'],9,...beslist over jouw data Onze digitale toekomst is aan ons. Niet aan techbedrijven die verdienen aan verslavende algoritmes. Niet aan AI die discrimineert of mensen de mond snoert. En zeker niet aan buitenlandse machten die ons kunnen afsluiten van onze eigen de digitale wereld gebruiken om de samenleving sterker te maken eerlijk en binnen de kaders van de rechtsstaat. Denk aan AI die artsen helpt om betere zorg te geven. Of aan digitale diensten die de overheid toegankelijker maken. De kennis en zet de overheid sterk de toon bij aanbestedingen en contracteisen van ICT vooral in belangrijke publieke sectoren. De ontwikkeling van AI in bijvoorbeeld de zorg het onderwijs en overheidsdiensten is gevoelig. Daarom laten we dat niet over aan buitenlandse bedrijven die standpunten over technologie maakt ruimte voor vooruitgang. Concept-verkiezingsprogramma 2025-2030 13 • Nederland wordt koploper in Europa in waardengedreven en verantwoorde AI. AI biedt enorme kansen maar zorgt ook voor risico’s voor werk veiligheid en democratie. De strijd om de dominantie op het gebied van AI in de wereld is in volle gang. Nederland en Europa dreigen nog afhankelijker te worden van vijandige of ongewenste machten. D66 wil dat we producent zijn geen consument. We bouwen daarom onze eigen kennis en kracht op het gebied van AI op op basis van Europese waarden en standaarden. • D66 staat voor democratische grip en onafhankelijke controle op ons digitale...,230,26399
109,D66,2021,['kunstmatige intelligentie'],9,...plichten kunnen deelnemen aan de samenleving. • Digitale vaardigheden krijgen een betere invulling in het nieuwe curriculum. Met aandacht voor kunstmatige intelligentie en kritisch denken over privacy en ethiek. We ondersteunen het effectiever gebruiken van digitale leermiddelen en –methoden met extra digitale leermiddelen krijgt een plek in de lerarenopleidingen. • We vergroten de opleidingscapaciteit voor studenten in de techniek ict en kunstmatige intelligentie in het hele vervolgonderwijs. We streven naar 1000 afgestudeerden in kunstmatige intelligentie en informatica per jaar vanaf 2022. Er komen fors meer investeringen in onderzoek op het gebied van digitale techniek zoals kunstmatige intelligentie cyber security quantum computing en fotonica. • Elke burger heeft toegang tot ‘digitale inburgering’; bijscholing die alle burgers helpt diversiteit dragen in onze ogen bij aan een modernisering van de rechtspraak. • De internationale trend om te experimenteren met kunstmatige intelligentie (KI) in de rechtspraak moet worden gereguleerd. De inzet van KI bij het snel doorzoeken van jurisprudentie kan de die macht achterblijft. Het is essentieel dat Nederland ambitieus vorm geeft aan de Europese strategieën op het gebied van data kunstmatige intelligentie en gegevensbescherming. Een digitale data-strategie Een data-strategie moet onze individuele grondrechten beschermen. In de kern betekent dit dat mensen gebruiker legt. Toegankelijkheid is belangrijk zodat ook laaggeletterden of mensen met beperkte digitale vaardigheden hiermee kunnen omgaan. Veilig gebruik van kunstmatige intelligentie Ook binnen de gezondheidszorg is kunstmatige intelligentie in opkomst. Dit kan de werklast van professionals verminderen en de patiënt een betere behandeling opleveren. Maar op dit...,244,69849
113,D66,2023,"['ai', 'artificiële intelligentie', 'chatgpt', 'generatieve ai', 'kunstmatige intelligentie']",28,...kennismigratie. Ook geven we ruimte aan de ontwikkeling van andere toekomstgerichte sectoren zoals batterijproductie technologie rond klimaat- en natuurherstel en kunstmatige intelligentie. Nederland kan hierin een belangrijke rol spelen in de wereld maar ook in Nederland biedt dit veel kansen aan actieve rol in de ontwikkeling van de infrastructuur van de overheid moet dit marktfalen worden aangepakt. • Het gebruik van kunstmatige intelligentie in de zorg wordt ingekaderd met wet- en regelgeving. Nieuwe energie voor Nederland. 67 | Verkiezingsprogramma D66 2023 – de middelbare school en het mbo.. • We verbeteren de invulling van onderwijs in digitale vaardigheden – met aandacht voor kunstmatige intelligentie programmeren en kritisch denken over privacy en ethiek. • Mobiele telefoons zijn deel van ons dagelijks leven maar brengen dringen het aantal lege vrachtwagens op de weg terug door slimmere samenwerking tussen vervoerders en verladers te stimuleren. Technologie als kunstmatige intelligentie en duidelijke afspraken door middel van convenanten helpen daarbij. • We stimuleren experimenten met zelfrijdende en met elkaar communicerende voor Nederland. 193 | Verkiezingsprogramma D66 2023 – 2027 De digitale versie lees je op d66.nl/verkiezingsprogramma • De inzet van kunstmatige intelligentie bij het snel doorzoeken van jurisprudentie kan de rechtspraak helpen om efficiënter te werken maar het zijn uiteindelijk mensen die rechterlijke uitspraken moeten doen. Om die reden moet de internationale trend om te experimenteren met kunstmatige intelligentie in de rechtspraak worden gereguleerd. • We willen een betere begrotingssystematiek in de hele keten van rechtspraak die recht...,233,86650
114,D66,2019,['kunstmatige intelligentie'],4,...budget moet gaan naar onderzoek en ontwikkeling. Dit kan via versterking van het kaderprogramma en het EU-investeringsbeleid. Vooral thema’s als kunstmatige intelligentie kwantumcomputing medisch onderzoek en schone energie hebben prioriteit. Deze onderwerpen zijn voor Europa van geopolitiek en economisch strategisch belang. digitale wereld maar zijn hier nog onvoldoende op ingericht. Europese en nationale mededingingsautoriteiten zouden moeten controleren of big data en kunstmatige intelligentie niet ingezet worden voor kartelvorming prijsafspraken of andersoortig machtsmisbruik. De vergaande integratie van consumentendata en advertentie-oplossingen over platformen heen mensenrechten als basis heeft. Europa dient hierin een belangrijke aanjagersrol te vervullen. De digitale wereld en vooral het inzetten van kunstmatige intelligentie en zelferende systemen brengen vele nieuwe ethische dilemma’s met zich mee. D66 vindt dat er Europese normen moeten komen systemen. Deze normen moeten gebaseerd worden op een brede maatschappelijke discussie. Bij het toekennen van subsidies voor het ontwikkelen van kunstmatige intelligentie en zelferende systemen stelt de Europese Commissie al ethische commissies in. De volgende stap is dat bedrijven worden aangemoedigd...,168,20042
115,D66,2024,"['ai', 'artificiële intelligentie', 'chatgpt', 'generatieve ai', 'kunstmatige intelligentie', 'machine learning']",32,...consument daarnaast actief en op een begrijpelijke inzichtelijke manier welke gegevens zij verzamelen opslaan en gebruiken. • Het gebruik van kunstmatige intelligentie in hoogrisicotoepassingen zoals het onderwijs handhaving en bestuur kan veel nieuwe mogelijkheden en vooruitgang brengen maar ook grote gevolgen publiekelijk inzichtelijk. Hierdoor worden belangrijke besluiten over technologie transparanter en beter democratisch geborgd. • Voor democratische controle en toezicht op AI is transparantie essentieel. Daarom komen er AI-labels voor alle content die met behulp van AI gegenereerd is. Bij foundation models zoals ChatGPT die voor veel doeleinden kunnen worden gebruikt is altijd inzichtelijk wie de maker van het model is. Ook worden de broncodes van AI beschikbaar voor onderzoek door Europese toezichthouders ook vóórdat producten op de markt komen. Dit leggen we Europees vast. Nieuwe energie groene innovatieve Europese toekomst gaat hand in hand met de digitale transitie. Zowel de ontwikkeling van nieuwe digitale technologie als kunstmatige intelligentie gaat razendsnel. D66 wil de kansen van nieuwe technologie grijpen. Kunstmatige intelligentie kan bijdragen aan een duurzame landbouw meer biodiversiteit en snelle opwekking van groene energie. Tegelijkertijd kan de digitale transitie D66 is de ambitie dat de Europese Unie in 2035 koploper is in de ontwikkeling van eerlijke rechtvaardige en duurzame kunstmatige intelligentie. Onze inzet: • In 2040 is Europa klimaatneutraal en in 2050 klimaatpositief. Vanaf 2045 is het gebruik van fossiele technologie kan een belangrijke bijdrage leveren aan de bestrijding van de klimaatcrisis. Tegelijkertijd kost de ontwikkeling van digitale technologie zoals kunstmatige intelligentie veel water en energie. D66 wil gebruik maken van de mogelijkheden van nieuwe technologie door deze op een duurzame...,260,31104
117,D66,2017,['artificiële intelligentie'],2,...komende jaren aangesloten op internet en kunnen steeds meer. 3D printen verandert het mondiale productiesysteem. En door big data en artificiële intelligentie komen inzichten beschikbaar die vroeger niemand had. Technologische veranderingen gaan steeds sneller en hun maatschappelijke invloed is steeds groter. maken 1500 productie steeds efficiënter ebeweging die al vele generaties plaatsvindt. Ook hoogwaardige 1501 arbeid wordt deels door automatisering of artificiële intelligentie vervangen en de maakindustrie 1502 wordt steeds technisch complexer. Er zullen andere vaardigheden worden gevraagd. Dit kan al 1503...,82,60651
129,D66,2017,['artificiële intelligentie'],3,...komende jaren aangesloten op internet en kunnen steeds meer. 3D printen verandert het mondiale productiesysteem. En door big data en artificiële intelligentie komen inzichten beschikbaar die vroeger niemand had. Technologische veranderingen gaan steeds sneller en hun maatschappelijke invloed is steeds groter. hebben zodat een consument zijn recht kan halen. Investeren in onderzoek D66 wil dat onderzoek in vooruitstrevende technologische ontwikkelingen zoals artificiële intelligentie het Internet of Things Industrie 4.0 3D-printing en robots gestimuleerd wordt zowel in toegepast als in meer fundamenteel onderzoek. robotisering maken productie steeds efficiënter een beweging die al vele generaties plaatsvindt. Ook hoogwaardige arbeid wordt deels door automatisering of artificiële intelligentie vervangen en de maakindustrie wordt steeds technisch complexer. Er zullen andere vaardigheden worden gevraagd. Dit kan al op korte...,125,66102
